,year,elec_type,dpto_code,muni_code,name_muni,party_code_1,party_code_2,faction,code_list,first_lastname,second_lastname,name,votes,seats
0,2011,6,5,5001,MEDELLIN,64.0,,,1,TOLOZA,CASTANO,JACQUELINE,12427.0,
1,2011,6,5,5001,MEDELLIN,1.0,,,2,GAVIRIA,CORREA,ANIBAL,239259.0,1.0
2,2011,6,5,5001,MEDELLIN,164.0,,,4,MUNOZ,RAMIREZ,LUIS FERNANDO,9730.0,
3,2011,6,5,5001,MEDELLIN,198.0,,,5,GUTIERREZ,ZULUAGA,FEDERICO ANDRES,120278.0,
4,2011,6,5,5001,MEDELLIN,448.0,,,6,PEREZ,,LUIS,221874.0,
5,2011,6,5,5001,MEDELLIN,,,,997,,,TARJETAS NO MARCADAS,21235.0,
6,2011,6,5,5001,MEDELLIN,,,,998,,,VOTOS NULOS,21205.0,
7,2011,6,5,5001,MEDELLIN,,,,999,,,VOTOS EN BLANCO,31393.0,
8,2011,6,5,5002,ABEJORRAL,2.0,,,1,ECHEVERRI,JARAMILLO,JORGE ELIECER,3439.0,
9,2011,6,5,5002,ABEJORRAL,1.0,,,2,MANRIQUE,HERNANDEZ,JOHN JAIRO,4936.0,1.0
10,2011,6,5,5002,ABEJORRAL,,,,997,,,TARJETAS NO MARCADAS,165.0,
11,2011,6,5,5002,ABEJORRAL,,,,998,,,VOTOS NULOS,136.0,
12,2011,6,5,5002,ABEJORRAL,,,,999,,,VOTOS EN BLANCO,74.0,
13,2011,6,5,5004,ABRIAQUI,2.0,,,1,BERNAL,GUTIERREZ,NESTOR JAFET,220.0,
14,2011,6,5,5004,ABRIAQUI,19.0,,,2,SALAS,CARDONA,LUIS ALFONSO,551.0,1.0
15,2011,6,5,5004,ABRIAQUI,1.0,,,3,GOMEZ,GIRALDO,MARGOT CECILIA,6.0,
16,2011,6,5,5004,ABRIAQUI,198.0,,,4,ARBELAEZ,GUISAO,JORGE ARTURO,438.0,
17,2011,6,5,5004,ABRIAQUI,,,,997,,,TARJETAS NO MARCADAS,8.0,
18,2011,6,5,5004,ABRIAQUI,,,,998,,,VOTOS NULOS,14.0,
19,2011,6,5,5004,ABRIAQUI,,,,999,,,VOTOS EN BLANCO,5.0,
20,2011,6,5,5021,ALEJANDRIA,2.0,,,1,AGUILAR,CARMONA,UBER ARBEY,1851.0,1.0
21,2011,6,5,5021,ALEJANDRIA,198.0,,,2,LOPEZ,PEREZ,LUIS FERNANDO,1004.0,
22,2011,6,5,5021,ALEJANDRIA,,,,997,,,TARJETAS NO MARCADAS,38.0,
23,2011,6,5,5021,ALEJANDRIA,,,,998,,,VOTOS NULOS,17.0,
24,2011,6,5,5021,ALEJANDRIA,,,,999,,,VOTOS EN BLANCO,9.0,
25,2011,6,5,5030,AMAGA,13.0,,,1,ARISTIZABAL,VASQUEZ,JAVIER EMILIO DE JESUS,1501.0,
26,2011,6,5,5030,AMAGA,198.0,,,2,AMAYA,CANO,JUAN CARLOS,2895.0,1.0
27,2011,6,5,5030,AMAGA,441.0,,,3,DARIO,MOLINA,OSCAR,416.0,
28,2011,6,5,5030,AMAGA,440.0,,,4,MOLINA,RODAS,LEONARDO DE JESUS,1489.0,
29,2011,6,5,5030,AMAGA,164.0,,,5,TORRES DE,ACEVEDO,ELVIA AMPARO,371.0,
30,2011,6,5,5030,AMAGA,41.0,,,6,AGUIRRE,ALZATE,CARLOS ALBERTO,2065.0,
31,2011,6,5,5030,AMAGA,2.0,,,7,ACEVEDO,VASQUEZ,EDUARDO ANTONIO,798.0,
32,2011,6,5,5030,AMAGA,1.0,,,8,HERNANDEZ,PIEDRAHITA,ARMANDO DE JESUS,1579.0,
33,2011,6,5,5030,AMAGA,,,,997,,,TARJETAS NO MARCADAS,269.0,
34,2011,6,5,5030,AMAGA,,,,998,,,VOTOS NULOS,259.0,
35,2011,6,5,5030,AMAGA,,,,999,,,VOTOS EN BLANCO,195.0,
36,2011,6,5,5031,AMALFI,2.0,,,1,LOPERA,HERNANDEZ,LUIS EDUARDO,1213.0,
37,2011,6,5,5031,AMALFI,437.0,,,2,ALZATE,SIERRA,ADRIANA MARIA,109.0,
38,2011,6,5,5031,AMALFI,15.0,,,3,MONSALVE,SANCHEZ,ROMAN FERNANDO,1185.0,
39,2011,6,5,5031,AMALFI,1.0,,,4,ZAPATA,YARCE,JIOVANY ALBERTO,146.0,
40,2011,6,5,5031,AMALFI,19.0,,,5,GONZALEZ,GAVIRIA,BERTHA TULIA,59.0,
41,2011,6,5,5031,AMALFI,197.0,,,6,GUZMAN,MONTOYA,ORLANDO DE JESUS,104.0,
42,2011,6,5,5031,AMALFI,198.0,,,7,GARCIA,RENDON,OSCAR MARIO,3509.0,1.0
43,2011,6,5,5031,AMALFI,,,,997,,,TARJETAS NO MARCADAS,178.0,
44,2011,6,5,5031,AMALFI,,,,998,,,VOTOS NULOS,174.0,
45,2011,6,5,5031,AMALFI,,,,999,,,VOTOS EN BLANCO,94.0,
46,2011,6,5,5034,ANDES,198.0,,,1,MEJIA,ARAMBURO,JOHN JAIRO,6314.0,
47,2011,6,5,5034,ANDES,437.0,,,2,GUTIERREZ,MEJIA,CARLOS MARIO,204.0,
48,2011,6,5,5034,ANDES,437.0,,,3,ARAQUE,ACEVEDO,JAVIER DE JESUS,620.0,
49,2011,6,5,5034,ANDES,2.0,,,4,JARAMILLO,JARAMILLO,ELKIN DARIO,8293.0,1.0
50,2011,6,5,5034,ANDES,,,,997,,,TARJETAS NO MARCADAS,761.0,
51,2011,6,5,5034,ANDES,,,,998,,,VOTOS NULOS,415.0,
52,2011,6,5,5034,ANDES,,,,999,,,VOTOS EN BLANCO,333.0,
53,2011,6,5,5036,ANGELOPOLIS,1.0,,,1,QUICENO,ARANGO,LUZ INES,1463.0,
54,2011,6,5,5036,ANGELOPOLIS,41.0,,,2,QUICENO,MONCADA,IVAN DE JESUS,164.0,
55,2011,6,5,5036,ANGELOPOLIS,198.0,,,3,GOMEZ,GOMEZ,JAIME ALBERTO,1677.0,1.0
56,2011,6,5,5036,ANGELOPOLIS,,,,997,,,TARJETAS NO MARCADAS,41.0,
57,2011,6,5,5036,ANGELOPOLIS,,,,998,,,VOTOS NULOS,38.0,
58,2011,6,5,5036,ANGELOPOLIS,,,,999,,,VOTOS EN BLANCO,43.0,
59,2011,6,5,5038,ANGOSTURA,2.0,,,1,RESTREPO,PRISCO,OLGA INES,1628.0,
60,2011,6,5,5038,ANGOSTURA,15.0,,,2,ATEHORTUA,AGUDELO,DIEGO DE JESUS,241.0,
61,2011,6,5,5038,ANGOSTURA,197.0,,,3,VASQUEZ,ARANGO,JOSE MIGUEL,2527.0,1.0
62,2011,6,5,5038,ANGOSTURA,,,,997,,,TARJETAS NO MARCADAS,190.0,
63,2011,6,5,5038,ANGOSTURA,,,,998,,,VOTOS NULOS,180.0,
